icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
4b8e0f,TC-CPO,BOEING,Boeing,737NG 8AS/W,B738,33641,,L2J,,SUNTURK,PGT,,Pegasus Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a66355,N510VL,AIRBUS,Airbus,A320-233,A320,5207,,L2J,,VOLARIS,VOI,,Wells Fargo Trust Co Na Trustee,,,2023-07-31,,2012-01-01,,,IAE V2527E-A5,false,false,false,,
868043,JA737Z,BOEING,Boeing,737NG 82Y/W,B738,40712,,L2J,,SKYMARK,SKY,,Skymark Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c6671,D-AISQ,AIRBUS,Airbus,A321 231,A321,3936,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
495239,CS-TQY,AIRBUS,Airbus,A340 313X,A343,190,,L4J,,,,,Hifly,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a02443,N108UW,AIRBUS,Airbus Industrie,A320-214,A320,1061,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,1999-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,
abfa8f,N871FE,CESSNA,Cessna,208B,C208,208B0198,,L1T,,,,,Federal Express Corporation,,,2022-05-31,,1989-01-01,,,P&W PT6A SERIES,false,false,false,,Light (< 15500 lbs)
4baa87,TC-JTG,AIRBUS,Airbus,A321 231SL,A321,6990,,L2J,Turkish Airlines,TURKISH,THY,TK,Turkish Airlines,,,,,,,, 2 x IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
42453a,VQ-BOZ,AIRBUS,Airbus,A321 211,A321,2117,,L2J,,SVERDLOVSK AIR,SVR,,Ural Airlines,,,,,,,,,false,false,false,"Crash-landed on Aug. 15, 2019 after a loss of thrust on both engines due to a bird strike. Ref. Ural Airlines Flight 178. ",No ADS-B Emitter Category Information
406b6d,G-LCYT,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000670,,L2J,,FLYER,CFE,,Ba Cityflyer,,2014-05-29,,,2014-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,false,false,false,,Large (75000 to 300000 lbs)
780b08,B-5786,BOEING,Boeing,737NG 85N/W,B738,39127,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4baa0f,TC-JPO,AIRBUS,Airbus,Airbus A320 232,A320,3567,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
06a1b7,A7-GAD,LEONARDO,Agustawestland,AW.189,A189,49016,,H2T,,,,,Gulf Helicopters,,,,,,,,,false,false,false,,Rotorcraft
800cb8,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3ddc6e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Rotorcraft
a50cb7,N424YX,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000393,,L2J,American Airlines,AMERICAN,AAL,AA,Republic Airways Inc,,,2023-03-31,,2014-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
a64b96,N5043J,,Cessna,172S,,172S10861,,,,,,,N5043j Llc,,,2021-05-31,,2008-01-01,,,LYCOMING IO-360-L2A,false,false,false,,Light (< 15500 lbs)
44003a,OE-LBE,AIRBUS,Airbus Industries,A321-211,A321,935,,L2J,,AUSTRIAN,AUA,,Austrian Airlines Ag,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
acda02,N927UW,AIRBUS,Airbus,A321-231,A321,6625,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,2015-01-01,,,IAE V2533-A5,false,false,false,,Large (75000 to 300000 lbs)
abfa9a,N871FR,,Gulfstream Aerospace Corp,GVI (G650),G650,6304,,,,,,,Wilmington Trust Co Trustee,,,2021-05-31,,2017-01-01,,,ROLLS-ROYC BR 700 SERIES,false,false,false,,Large (75000 to 300000 lbs)
7c6d53,VH-VVP,REIMS,Cessna,172S,C172,,,L1P,Airways Aviation Education Pty Ltd,,,,Airways Aviation Education Pty Ltd,,,,,,,,PISTON,false,false,false,,Light (< 15500 lbs)
780b13,B-2735,BOEING,Boeing,787 8,B788,34928,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
e47f4f,PR-GTC,BOEING,Boeing,737NG 8EH/W,B738,34277,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
abe579,N866DN,BOEING,Boeing,737-900ER,B739,31977,,L2J,,DELTA,DAL,,Wells Fargo Trust Co Na Trustee,,,2022-10-31,,2016-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
018083,5A-WAT,AIRBUS,Airbus,A320 212,A320,438,,L2J,,,,,Rahila Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a82f39,N6262V,,Beech,V35,,D-8592,,,,,,,Bonanza 62v Inc,,,2022-08-31,,,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
71ba04,HL7204,BOEING,Boeing,Boeing 777-3B5ER,B77W,60380,1549,L2J,Korean Air,KOREANAIR,KAL,KE,Korean Air,,,,,,,,GE GE90-115B,false,false,false,,Heavy (> 300000 lbs)
7c7a45,VH-YFR,BOEING,Boeing,737NG 8FE/W,B738,41012,,L2J,,VIRGIN,VOZ,,Virgin Australia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
abf692,N870CK,LEARJET,Gates Learjet Corp.,35A,LJ35,170,,L2J,Kalitta Charters,KALITTA,KFS,,Kalitta Charters Llc,,,2023-02-28,,1978-01-01,,,GARRETT TFE731 SERIES,false,false,false,,
a6c6cb,N536AV,AIRBUS,Airbus,A320-214,A320,5360,,L2J,, S.A.,AVA,,Wells Fargo Trust Co Na Trustee,,,2021-11-30,,2012-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
4951d5,CS-TNU,AIRBUS,Airbus,A320 214,A320,4106,,L2J,,AIR PORTUGAL,TAP,,Tap Portugal,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
adab38,N980AV,AIRBUS,Airbus,A320 214,A320,3980,,L2J,, S.A.,AVA,,Avianca,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0d07f7,XA-VLB,AIRBUS,Airbus,A320 233SL,A320,5988,,L2J,,VOLARIS,VOI,,Volaris,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa9848,N782DJ,,Mooney,M20J,,24-1592,,,,,,,Leandro Eduardo,,,2021-12-31,,,,,LYCOMING I0360 SER A&C,false,false,false,,
484b91,PH-BGK,BOEING,Boeing,737NG 7K2/W,B737,38054,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
71040e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
407462,G-TTNC,AIRBUS,Airbus Industrie,A320-251N,A20N,,,L2J,British Airways,SPEEDBIRD,BAW,BA,,,2018-06-17,,,,,,,false,false,false,,
a78916,N585GE,,Piper,PA-28-181,,2881009,,,,,,,Wayne Mogg Inc,,,2023-03-31,,2018-01-01,,,LYCOMING IO-360-B4A,false,false,false,,Light (< 15500 lbs)
a03765,N113AN,AIRBUS,Airbus Industrie,A321-231,A321,6020,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2023-03-31,,2014-01-01,,,IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
4cabb4,EI-GDC,BOEING,Boeing,Boeing 737NG 800/W,B738,44800,,L2J,,RYANAIR,RYR,,Ryanair,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4242a6,VP-BIV,AIRBUS,Airbus,A319 115LR,A319,3065,,L2J,,PULKOVO,SDM,,Rossiya Russian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
896440,A6-AEJ,AIRBUS,Airbus,A321 231SL,A321,6842,,L2J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c4582,D-AALB,BOEING,Boeing,Boeing 777-FZN,B77L,36002,,L2J,Aerologic,BOX,BOX,3S,Aerologic,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
884207,HS-PPG,AIRBUS,Airbus,A319 131,A319,2664,,L2J,,BANGKOK AIR,BKP,,Bangkok Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ab2c8e,N819UA,AIRBUS,Airbus Industrie,A319-131,A319,0893,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-04-30,,1998-01-01,,,IAE V2500SERIES,false,false,false,,No ADS-B Emitter Category Information
a1f884,N226NN,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000540,,L2J,,Envoy,ENY,,American Airlines Inc,,,2023-11-30,,2016-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
aa292d,N754CX,BOEING,Boeing,757-2YO,B752,26154,,L2J,,,,,Cargo Aircraft Management Inc,,,2022-01-31,,1996-01-01,,,AMA/EXPR UNKNOWN ENG,false,false,false,,No ADS-B Emitter Category Information
aacfe9,N796SK,CANADAIR,Bombardier Inc,CL-600-2C10,CRJ7,10300,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2022-04-30,,2010-01-01,,,GE CF34-8C5B1,false,false,false,,Small (15500 to 75000 lbs)
a35aae,N315PE,BOEING,Boeing,737-800,B738,31261,,L2J,,AMERICAN,AAL,,Wilmington Trust Co Trustee,,,2023-06-30,,2017-01-01,,,CFM INTL CFM56-7B24E,false,false,false,,Large (75000 to 300000 lbs)
a76d90,N578QS,,Textron Aviation Inc,680A,,680A0135,,,,,,,Dfs Services Llc,,,2021-07-31,,2018-01-01,,,P&W CANADA PW306D1,false,false,false,,Small (15500 to 75000 lbs)
88044d,HS-ABM,AIRBUS,Airbus,A320 216,A320,4278,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
71bd84,HL7584,AIRBUS,Airbus,A330 323X,A333,338,,L2J,,KOREANAIR,KAL,,Korean Air,,,,,,,,,false,false,false,,
06a11d,A7-ANA,AIRBUS,Airbus,A350 1041,A35K,88,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a32a76,N303,,Stinson,108,,108-536,,,,,,,Behlings Jennifer E,,,2022-09-30,,1946-01-01,,,FRANKLIN 6A4150 SERIES,false,false,false,,Light (< 15500 lbs)
0d0a18,XA-VRC,AIRBUS,Airbus,A321 231SL,A321,7416,,L2J,,VOLARIS,VOI,,Volaris,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a03c43,N114NH,,Davis John R,VANS RV-8,,82137,,,,,,,Sagneri Anthony,,,2023-08-31,,,,,SUPERIOR XP-360,false,false,false,,Light (< 15500 lbs)
a06262,N12382,,Cessna,172M,,17261958,,,,,,,Blue Sky Pilots Inc Dba,,,2023-05-31,,1973-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
010091,SU-GCA,AIRBUS,Airbus,Airbus A320 232,A320,2073,,L2J,,EGYPTAIR,MSR,,Egyptair,,,,,,,,,false,false,false,,
ab4be4,N827LP,PIPER,Piper,PA-31T1,PAY1,31T-7904048,,L2T,,,,,Ktb Transport Llc,,,2022-01-31,,,,,,false,false,false,,
a04829,N117WA,EMBRAER,Embraer,EMB-110P1,E110,110.388,,L2T,Wiggins Airways,WIGGINS AIRWAYS,WIG,,Wiggins Airways Inc,,,2021-06-30,,1982-01-01,,,P&W CANADA PT6A-60A,false,false,false,,Light (< 15500 lbs)
a4196d,N363WH,,Cirrus Design Corp,SR22T,,1771,,,,,,,Skyhammer Aviation Llc,,,2022-06-30,,2018-01-01,,,CONT MOTOR TSIO-550-K,false,false,false,,
851186,JA314J,BOEING,Boeing,737NG 846/W,B738,35343,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
04004a,ET-AOT,BOEING,Boeing,Boeing 787-8,B788,34748,167,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,ET,Ethiopian Airlines,,2014-05-06,,,2014-01-01,,,,false,false,false,,Heavy (> 300000 lbs)
ab87c8,N842FD,BOEING,Boeing,777FHT,B77L,38969,,L2J,Federal Express,FEDEX,FDX,FX,Wells Fargo Trust Co Na Trustee,,,2023-02-28,,2011-01-01,,,GE GE90-110B1,false,false,false,,
4caa19,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
471f6e,HA-LXM,AIRBUS,Airbus,Airbus A321 231SL,A321,7528,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a59b1e,N460RM,CESSNA,Textron Aviation Inc,525,C25M,525-0926,,L2J,,,,,Mustang Two Llc,,,2022-09-30,,2016-01-01,,,WILLIAMS FJ44-1AP,false,false,false,,
800d0e,VT-WGY,AIRBUS,Airbus Industrie,,A20N,8498,,L2J,Goair,GOAIR,GOW,G8,Smbc,,,,,,,,,false,false,false,,
ab2e95,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
a2a77b,N270LE,,Gulfstream Aerospace Corp,GVI(G650ER),G650,6164,,,,,,,Liberty Mutual Insurance Co,,,2022-01-31,,2015-01-01,,,ROLLS-ROYC BR 700 SERIES,false,false,false,,Large (75000 to 300000 lbs)
a6267e,N496BC,BOEING,Boeing,747 4B5BCF,B744,26396,,L4J,Kalitta Air,CONNIE,CKS,K4,Kalitta Air,,2031-05-18,,,,,,4,false,false,false,,No ADS-B Emitter Category Information
70203e,S2-AFO,BOEING,Boeing,777 3E9ER,B77W,40122,,L2J,,BANGLADESH,BBC,,Biman Bangladesh Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
abf5d9,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
e06588,LV-FVH,AIRBUS,Airbus,A330 202,A332,1605,,L2J,,ARGENTINA,ARG,,Aerolineas Argentinas,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
424279,VP-BBT,AIRBUS,Airbus,A319 112,A319,1805,,L2J,,PULKOVO,SDM,,Rossiya Russian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7582e7,RP-C3275,AIRBUS,Airbus,A320 214SL,A320,5687,,L2J,,CEBU AIR,CEB,,Cebu Pacific Air,,,,,,,,,false,false,false,,
3444d1,EC-MBE,AIRBUS,Airbus,A320 214,A320,3476,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
e480d2,PR-MHQ,AIRBUS,Airbus,A320 214,A320,3284,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
867816,JA710A,BOEING,Boeing,777 281ER,B772,28279,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
424116,VP-BKX,AIRBUS,Airbus,A320 214,A320,3410,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a943b2,N6962V,,Mooney,M20F,,22-1329,,,,,,,Rez Peter Trustee,,,2024-04-30,,1976-01-01,,,LYCOMING I0360 SER,false,false,false,,Light (< 15500 lbs)
abd77e,N862NN,BOEING,Boeing,737-823,B738,30905,,L2J,,AMERICAN,AAL,,Wilmington Trust Co Trustee,,,2022-12-31,,2010-01-01,,,CFM INTL CFM56-7B24/3,false,false,false,,No ADS-B Emitter Category Information
ac1bb7,N88CJ,,Beech,A36,,E-1042,,,,,,,Lyman Michael R,,,2023-10-31,,1977-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
71011f,HZ-AS57,AIRBUS,Airbus,A320 214SL,A320,7666,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a6cf38,N538M,,Embraer,EMB-135ER,,145467,,,,,,,Menards Inc,,,2023-11-30,,2001-01-01,,,ROLLS-ROYC AE 3007A1P,false,false,false,,Small (15500 to 75000 lbs)
a84a55,N633QX,,Embraer S A,ERJ 170-200 LR,,17000719,,,,,,,Horizon Air Industries Inc,,,2024-04-30,,2018-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
ac8e1d,N908NN,BOEING,Boeing,737-823,B738,31157,,L2J,,AMERICAN,AAL,,Wells Fargo Trust Co Na Trustee,,,2021-11-30,,2012-01-01,,,CFM INTL CFM56-7B24E,false,false,false,,No ADS-B Emitter Category Information
a9ec06,N73860,BOEING,Boeing,757 33N/W,B753,32584,,L2J,,UNITED,UAL,,United Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8963de,A6-EPO,BOEING,Boeing,777 31HER,B77W,42334,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a9f7d2,N741SA,BOEING,Boeing,737-7H4,B737,29277,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2022-06-30,,1998-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,
c07faf,C-GWJE,BOEING,Boeing,737-7CT (Boeing),B737,35078,,L2J,,WESTJET,WJA,,Westjet,,2007-11-08,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780a0a,B-LAM,AIRBUS,Airbus,A330 343E,A333,1239,,L2J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c48f0,D-ABGP,AIRBUS,Airbus,A319 112,A319,3728,,L2J,,EUROWINGS,EWG,,Eurowings,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7806b4,B-6519,AIRBUS,Airbus,A330 243,A332,1159,,L2J,,HAINAN,CHH,,Hainan Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ca8a9,EI-FTG,BOEING,The Boeing Company,BOEING 737-800,B738,44757,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2016-11-02,,,2016-01-01,,,2x CFM CFM56-7B26E,false,false,false,,Large (75000 to 300000 lbs)
8a04d7,PK-GPW,AIRBUS,Airbus,A330 343E,A333,1585,,L2J,,INDONESIA,GIA,,Garuda Indonesia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7e836,N6086W,,Piper,PA-28-140,,28-20100,,,,,,,Mayo Clive S,,,2022-12-31,,1964-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,
4850ba,P4-LAC,ROCKWELL,Lockheed,L-100-30 Hercules,C130,4676,,L4T,Lynden Air Cargo,LYNDEN,LYC,L2,Lynden Air Cargo,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
781170,B-1440,BOEING,Boeing,737NG 800/W,B738,61435,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
71012a,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a8ebdc,N674PC,,Cessna,340A,,340A0544,,,,,,,Legal Wings I Llc,,,2021-07-31,,1978-01-01,,,CONT MOTOR TSIO-520 SER,false,false,false,,Light (< 15500 lbs)
501da8,9A-CQA,DE HAVILLAND CANADA,Bombardier,DHC-8 402,DH8D,4205,,L2T,,CROATIA,CTN,,Croatia Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ca84e,EI-EMF,BOEING,The Boeing Company,BOEING 737-8AS,B738,34978,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2010-04-26,,,2010-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
a1f595,N225WN,BOEING,Boeing,737-7H4,B737,34333,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2022-06-30,,2005-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,
780e54,B-8332,AIRBUS,Airbus,Airbus A330 243,A332,1662,,L2J,,SI CHUAN,CSC,,Sichuan Airlines,,,,,,,,,false,false,false,,
a254d6,N24972,,Boeing,787-9,,40939,,,United Airlines,UNITED,UAL,UA,United Airlines Inc,,,2024-01-31,,2018-01-01,,,GE GENX SERIES,false,false,false,,Heavy (> 300000 lbs)
71c061,HL8061,BOEING,Boeing,737NG 8AS/W,B738,37514,,L2J,,JEJU AIR,JJA,,Jeju Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
750031,9M-FYD,ATR,Avions De Transport Regional,ATR 72 500,AT75,830,,L2T,,FIREFLY,FFM,,Firefly,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a94ae3,N69804,BOEING,Boeing,737-924ER,B739,42816,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-09-30,,2013-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
ab22a3,N81640,,Beech,F33A,,CE-1591,,,,,,,Miller Ralph G,,,2022-11-30,,1991-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
a1a55f,N205JA,,Dassault Aviation,MYSTERE-FALCON 50,F5EX,274,,,,,,,Ballengee Aviation Llc,,,2023-12-31,,1998-01-01,,,ALLIEDSIGN TFE 731-2B,false,false,false,,Small (15500 to 75000 lbs)
78921e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
e48b64,PR-MYR,AIRBUS,Airbus,A320 214,A320,5107,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7100bb,HZ-AQ17,AIRBUS,Airbus,A330 343E,A333,1739,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
e84079,HC-CRU,AIRBUS,Airbus,A320 214,A320,3408,,L2J,,AEROGAL,GLG,,Avianca Ecuador,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a01ca5,N106SY,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000399,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2023-05-31,,2014-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
4ca802,EI-EKD,BOEING,The Boeing Company,BOEING 737-8AS,B738,35024,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2010-01-19,,,2010-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
7c7ac4,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
40701d,G-EZPI,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,7104,,L2J,,EASY,EZY,,Easyjet Airline,,2016-05-19,,,2016-01-01,,,2 x CFM CFM56-5B4/3<br>,false,false,false,,Large (75000 to 300000 lbs)
e49337,PT-MOD,BOEING,Boeing,767 316ER/W,B763,40799,1029,L2J,Latam Brasil,TAM,TAM,JJ,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac70fc,N900UP,,Cessna,750,,750-0113,,,,,,,Textron Financial Corp,,,2024-01-31,,2000-01-01,,,ALLISON AE3007C SER,false,false,false,,
a86e85,N642VA,AIRBUS,Airbus,A320-214,A320,3670,,L2J,,REDWOOD,VRD,,Wells Fargo Trust Co Na Trustee,,,2023-11-30,,2008-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
c088fb,C-GZWS,BOEING,Boeing,737-8CT (Boeing),B738,32770,,L2J,,WESTJET,WJA,,Westjet,,2005-06-02,,,,,,,false,false,false,,No ADS-B Emitter Category Information
abb59f,N85352,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000673,,L2J,,AIR SHUTTLE,ASH,,United Airlines Inc,,,2023-06-30,,2017-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
3c66a6,D-AIUF,AIRBUS,Airbus,A320 214SL,A320,6141,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a97c69,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
7802ae,B-6292,AIRBUS,Airbus,A320 214,A320,2960,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8a0683,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
8a060b,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
47bdfb,LN-RGF,BOEING,Boeing,737NG 86N/W,B738,38038,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3cd3ab,D-CHLR,EMBRAER,Embraer,Phenom 300,E55P,50500066,,L2J,,,,,Black Horse Jets Gmbh,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
76aa76,9V-JSV,AIRBUS,Airbus,A320 232SL,A320,5813,,L2J,,JETSTAR ASIA,JSA,,Jetstar Asia Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
abb52c,N8532S,BOEING,Boeing,737-800,B738,63576,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2023-06-30,,2017-01-01,,,CFM INTL CFM56-7B27E/F,false,false,false,,No ADS-B Emitter Category Information
8960ef,A6-EDN,AIRBUS,Airbus,A380 861,A388,56,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
3c66b1,D-AIUQ,AIRBUS,Airbus,A320 214SL,A320,6947,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a50869,N423SW,CANADAIR,Bombardier Inc,CL-600-2B19,CRJ2,7456,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2022-01-31,,2000-01-01,,,GE CF34 SERIES,false,false,false,,
4ba9d4,TC-JNT,AIRBUS,Airbus,Airbus A330 303,A333,1476,,L2J,Turkish Airlines,TURKISH,THY,TK,Turkish Airlines,,,,,2003-12-13,2007-11-13,,,false,false,false,,
ab9f6d,N848VA,AIRBUS,Airbus,A320-214,A320,4959,,L2J,,REDWOOD,VRD,,Wells Fargo Trust Co Na Trustee,,,2023-12-31,,2011-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
406a05,G-XLEF,AIRBUS,Airbus Sas,AIRBUS A380-841,A388,151,,L4J,,SPEEDBIRD,BAW,,British Airways,,2014-05-14,,,2013-01-01,,,4 x ROLLS-ROYCE RB211 Trent 970-84<br>,false,false,false,,Heavy (> 300000 lbs)
800ba7,VT-IDQ,AIRBUS,Airbus,A320 232,A320,2108,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a4c76d,N407JC,,Beech,A36,,E-2033,,,,,,,Plane Partners Llc,,,2022-04-30,,1982-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
a9816b,N711SY,BOEING,Boeing,737NG 73V/W,B737,30245,,L2J,,SUN COUNTRY,SCX,,Sun Country Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
